episode:  100000 , loss:  0 , win_rate:  1.0
episode:  286000 , loss:  1.9735e-05 , win_rate:  0.741850850264
episode:  288000 , loss:  2.62545e-05 , win_rate:  0.742065201781
episode:  290000 , loss:  2.84629e-05 , win_rate:  0.742122409882
episode:  292000 , loss:  1.96472e-05 , win_rate:  0.742293008891
episode:  294000 , loss:  1.83022e-05 , win_rate:  0.742300297421
episode:  296000 , loss:  2.40345e-05 , win_rate:  0.742552333917
episode:  298000 , loss:  1.16579e-05 , win_rate:  0.742662915844
save:  300000
episode:  300000 , loss:  1.14268e-05 , win_rate:  0.742881285594
episode:  302000 , loss:  2.1684e-05 , win_rate:  0.742842857214
episode:  304000 , loss:  2.53477e-05 , win_rate:  0.743094396596
episode:  306000 , loss:  2.01459e-05 , win_rate:  0.743273090907
episode:  308000 , loss:  2.06424e-05 , win_rate:  0.743357003091
episode:  310000 , loss:  1.60263e-05 , win_rate:  0.743486935776
episode:  312000 , loss:  1.0608e-05 , win_rate:  0.743581398201
episode:  314000 , loss:  1.25818e-05 , win_rate:  0.743781571114
episode:  316000 , loss:  1.76409e-05 , win_rate:  0.743927111449
episode:  318000 , loss:  1.32732e-05 , win_rate:  0.744042458521
episode:  320000 , loss:  3.54928e-05 , win_rate:  0.744110254044
episode:  322000 , loss:  2.12661e-05 , win_rate:  0.744172323548
episode:  324000 , loss:  1.78734e-05 , win_rate:  0.744103820965
episode:  326000 , loss:  9.31424e-06 , win_rate:  0.744240069734
episode:  328000 , loss:  2.20101e-05 , win_rate:  0.744163402792
episode:  330000 , loss:  1.35377e-05 , win_rate:  0.744201112169
episode:  332000 , loss:  2.0172e-05 , win_rate:  0.744371791501
episode:  334000 , loss:  1.6908e-05 , win_rate:  0.744513912334
episode:  336000 , loss:  1.25966e-05 , win_rate:  0.744598539837
episode:  338000 , loss:  1.96349e-05 , win_rate:  0.744538888492
episode:  340000 , loss:  2.87031e-05 , win_rate:  0.744530231124
episode:  342000 , loss:  2.76598e-05 , win_rate:  0.744563038996
episode:  344000 , loss:  1.59263e-05 , win_rate:  0.744611702411
episode:  346000 , loss:  3.47411e-05 , win_rate:  0.744724614941
episode:  348000 , loss:  1.62544e-05 , win_rate:  0.744763125955
save:  350000
episode:  350000 , loss:  3.52601e-05 , win_rate:  0.744809020764
episode:  352000 , loss:  1.80688e-05 , win_rate:  0.744719266987
episode:  354000 , loss:  2.28311e-05 , win_rate:  0.744693918528
episode:  356000 , loss:  2.17908e-05 , win_rate:  0.744594747677
episode:  358000 , loss:  2.08261e-05 , win_rate:  0.744667656327
episode:  360000 , loss:  2.74358e-05 , win_rate:  0.74461636686
episode:  362000 , loss:  2.70963e-05 , win_rate:  0.744630745684
episode:  364000 , loss:  1.27115e-05 , win_rate:  0.744622179461
episode:  366000 , loss:  2.31924e-05 , win_rate:  0.744591185747
episode:  368000 , loss:  1.55066e-05 , win_rate:  0.744661400517
episode:  370000 , loss:  1.41448e-05 , win_rate:  0.744597242232
episode:  372000 , loss:  1.58229e-05 , win_rate:  0.744522998077
episode:  374000 , loss:  1.00055e-05 , win_rate:  0.744471735505
episode:  376000 , loss:  2.49278e-05 , win_rate:  0.744403099989
episode:  378000 , loss:  2.45347e-05 , win_rate:  0.744245524297
episode:  380000 , loss:  1.73829e-05 , win_rate:  0.744197342152
episode:  382000 , loss:  1.13185e-05 , win_rate:  0.744015092145
episode:  384000 , loss:  2.04527e-05 , win_rate:  0.743958648033
episode:  386000 , loss:  9.55825e-06 , win_rate:  0.743808588082
episode:  388000 , loss:  2.95298e-05 , win_rate:  0.743618945768
episode:  390000 , loss:  2.61276e-05 , win_rate:  0.7434319192
episode:  392000 , loss:  1.70427e-05 , win_rate:  0.74332279684
episode:  394000 , loss:  2.435e-05 , win_rate:  0.74318794834
episode:  396000 , loss:  2.09236e-05 , win_rate:  0.743166408222
episode:  398000 , loss:  2.26631e-05 , win_rate:  0.743054553508
save:  400000
episode:  400000 , loss:  1.74912e-05 , win_rate:  0.742974190086
episode:  402000 , loss:  1.71126e-05 , win_rate:  0.742924692302
episode:  404000 , loss:  1.61345e-05 , win_rate:  0.742747556751
episode:  406000 , loss:  2.35721e-05 , win_rate:  0.742611952249
episode:  408000 , loss:  2.59312e-05 , win_rate:  0.742510576264
episode:  410000 , loss:  2.50661e-05 , win_rate:  0.742310508676
episode:  412000 , loss:  2.23629e-05 , win_rate:  0.742170698171
episode:  414000 , loss:  2.43274e-05 , win_rate:  0.742134579189
episode:  416000 , loss:  1.90464e-05 , win_rate:  0.742051449204
episode:  418000 , loss:  1.96606e-05 , win_rate:  0.741903327348
episode:  420000 , loss:  1.91449e-05 , win_rate:  0.741925806482
episode:  422000 , loss:  1.69233e-05 , win_rate:  0.741910739408
episode:  424000 , loss:  2.51571e-05 , win_rate:  0.741920549628
episode:  426000 , loss:  1.58391e-05 , win_rate:  0.741908767151
episode:  428000 , loss:  4.20426e-05 , win_rate:  0.741787372599
episode:  430000 , loss:  1.54773e-05 , win_rate:  0.741640176848
episode:  432000 , loss:  2.40877e-05 , win_rate:  0.741467646182
episode:  434000 , loss:  2.55726e-05 , win_rate:  0.741434905884
episode:  436000 , loss:  2.02925e-05 , win_rate:  0.741447198074
episode:  438000 , loss:  1.42715e-05 , win_rate:  0.741269996243
episode:  440000 , loss:  2.59887e-05 , win_rate:  0.741253702195
episode:  442000 , loss:  2.23328e-05 , win_rate:  0.741059236669
episode:  444000 , loss:  1.88982e-05 , win_rate:  0.740977497158
episode:  446000 , loss:  3.51921e-05 , win_rate:  0.7408562403
episode:  448000 , loss:  1.17516e-05 , win_rate:  0.740819710288
save:  450000
episode:  450000 , loss:  2.28371e-05 , win_rate:  0.740803597704
episode:  452000 , loss:  3.85762e-05 , win_rate:  0.740693918483
episode:  454000 , loss:  2.76355e-05 , win_rate:  0.740605252528
episode:  456000 , loss:  2.21843e-05 , win_rate:  0.740554099567
episode:  458000 , loss:  3.30022e-05 , win_rate:  0.740528657741
episode:  460000 , loss:  2.42856e-05 , win_rate:  0.740372943408
episode:  462000 , loss:  1.67545e-05 , win_rate:  0.740199612708
episode:  464000 , loss:  1.2749e-05 , win_rate:  0.740039175717
